station_pandas,station_mta_detailed,Structure,GTFS Latitude,GTFS Longitude
GUN HILL RD,Gun Hill Rd,Elevated,40.878,-73.866
34 ST-PENN STA,34 St - Penn Station,Subway,40.750,-73.991
GRD CNTRL-42 ST,Grand Central - 42 St,Subway,40.751776,-73.976848
86 ST,86 St,Subway,40.788644,-73.976218
34 ST-HERALD SQ,34 St - Herald Sq,Subway,40.749567,-73.98795
23 ST,23 St,Subway,40.742878,-73.992821
14 ST-UNION SQ,14 St - Union Sq,Subway,40.735736,-73.990568
TIMES SQ-42 ST,Times Sq - 42 St,Subway,40.75529,-73.987495
CHAMBERS ST,Chambers St,Subway,40.714111,-74.008585
FULTON ST,Fulton St,Subway,40.687119,-73.975375
CANAL ST,Canal St,Subway,40.720824,-74.005229
59 ST COLUMBUS,59 St - Columbus Circle,Subway,40.768296,-73.981736
125 ST,125 St,Subway,40.804138,-73.937594
96 ST,96 St,Subway,40.793919,-73.972323
FLUSHING-MAIN,Flushing - Main St,Subway,40.7596,-73.83003
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,